mes;cliente;campanya;objetivo;subojetivo;objetivo_final;disciplina;soporte;tipo_coste;pagador;producto;subproducto;impresiones;clics;inversion;impresiones_medibles;impresiones_visibles;views;views_25;views_50;views_75;video_100
5;Orange;Terminal-Renove;Performance;Captacion;Renove;Display;DBMINHOUSE;CPM;Huawei;RENOVE;TERMINAL;3484906.0;3230.0;2941.79;3463675.0;2593967.0;0.0;0.0;0.0;0.0;0.0
5;Orange;Terminal-Renove;Performance;Captacion;Renove;Display;DBMINHOUSE;CPM;Residencial;RENOVE;TERMINAL;3572590.0;5778.0;2942.8100000000004;3552369.0;2390181.0;0.0;0.0;0.0;0.0;0.0
5;Orange;Terminal-Renove;Performance;Captacion;Renove;Display;DBMINHOUSE;CPM;SAMSUNG;RENOVE;TERMINAL;521578.0;730.0;407.5499999999999;519695.0;346909.0;0.0;0.0;0.0;0.0;0.0
5;Orange;Terminal-Renove;Performance;Captacion;Renove;Display;DBMINHOUSE;CPM;Xiaomi;RENOVE;TERMINAL;3571857.0;5189.0;2942.699999999999;3551370.0;2400774.0;0.0;0.0;0.0;0.0;0.0
5;Orange;Terminal-Renove;Performance;Captacion;Renove;Display;RTBHOUSE;CPC;Sony;RENOVE;OBJETOS CONECTADOS;1844273.0;13651.0;3000.0000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Fibra;Performance;Captacion;Alta;Display;AMENAPIBDV360;CPM;Low Cost;AMENAFIBRA;0;12563886.0;13614.0;6214.230000000007;12509942.0;8643762.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Fibra;Performance;Captacion;Alta;Display;BMIND;CPM;Low Cost;AMENAFIBRA;0;6186358.0;4676.0;10000.000000000002;6111943.0;4274486.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Fibra;Performance;Captacion;Alta;Display;CRITEO;CPC;Low Cost;AMENAFIBRA;0;6719104.0;42171.0;4999.999999999999;4999766.0;2236262.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Fibra;Performance;Captacion;Alta;Display;GOOGLEINHOUSE;CPC;Low Cost;AMENAFIBRA;0;12110526.0;88138.0;5320.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Fibra;Performance;Captacion;Alta;Display;HISPAVISTA;CPM;Low Cost;AMENAFIBRA;0;14263754.0;12153.0;12000.000000000002;8161707.0;5650059.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Fibra;Performance;Captacion;Alta;Display;TABOOLA;CPC;Low Cost;AMENAFIBRA;0;2691158.0;4486.0;1028.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Fibra;Performance;Captacion;Alta;Display;VERIZONINHOUSE;dCPM;Low Cost;AMENAFIBRA;0;5325524.0;6083.0;984.5699999999999;4991139.0;2860609.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Fibra;Performance;Captacion;Alta;Social;BMINHOUSE;CPM;Low Cost;AMENAFIBRA;0;309243.0;2979.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Fibra;Performance;Captacion;Alta;Social;BMINHOUSE;CPM;Low Cost;AMENAFIBRA;AMENAFIBRA;2782233.0;27185.0;12700.000000000002;0.0;0.0;6594.0;19865.0;11989.0;8657.0;6394.0
6;Amena;Amena-Movil;Branding;Consideracion;Afinidad;Display;ADSLZONE;CPM;Low Cost;AMENAMOVIL;0;956500.0;2365.0;3347.7400000000002;931326.0;457608.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Movil;Branding;Consideracion;Cobertura;Display;GRUPOPRISA;CPM;Low Cost;AMENAMOVIL;0;1660252.0;3447.0;5095.349999999999;1587512.0;740723.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Movil;Performance;Captacion;Alta;Display;AMENAPIBDV360;CPM;Low Cost;AMENAMOVIL;0;18672455.0;65841.0;10767.750000000058;18526739.0;14066844.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Movil;Performance;Captacion;Alta;Display;BMIND;CPM;Low Cost;AMENAMOVIL;0;5320624.0;3439.0;8619.259999999987;5246970.0;3563118.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Movil;Performance;Captacion;Alta;Display;CRITEO;CPC;Low Cost;AMENAMOVIL;0;2172636.0;11456.0;5000.0;1606950.0;696660.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Movil;Performance;Captacion;Alta;Display;GOOGLEINHOUSE;CPC;Lg;AMENAMOVIL;0;4054087.0;21121.0;5740.5599999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Movil;Performance;Captacion;Alta;Display;GOOGLEINHOUSE;CPC;Low Cost;AMENAMOVIL;0;5371169.0;52360.0;5750.589999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Movil;Performance;Captacion;Alta;Display;GOOGLEINHOUSE;CPC;Xiaomi;AMENAMOVIL;0;3774782.0;21146.0;6384.749999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Movil;Performance;Captacion;Alta;Display;GRUPOPRISA;CPC;Low Cost;AMENAMOVIL;0;14819291.0;13287.0;6430.910000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Movil;Performance;Captacion;Alta;Display;HISPAVISTA;CPM;Lg;AMENAMOVIL;0;4233803.0;2679.0;4000.0000000000023;2960293.0;1929976.0;0.0;0.0;0.0;0.0;0.0
6;Amena;Amena-Movil;Performance;Captacion;Alta;Display;HISPAVISTA;CPM;Low Cost;AMENAMOVIL;0;15566498.0;11375.0;14758.019999999995;10087229.0;6657371.0;0.0;0.0;0.0;0.0;0.0
